CalendarDate,HolidayNameHebrew
2017-12-12,ערב חנוכה
2017-12-13,חנוכה
2017-12-14,חנוכה
2017-12-15,חנוכה
2017-12-16,חנוכה
2017-12-17,חנוכה
2017-12-18,חנוכה
2017-12-19,חנוכה
2017-12-20,חנוכה
2017-12-24,ערב חג המולד
2017-12-25,חג המולד
2017-12-26,חג המולד
2017-12-28,צום י בטבת
2017-12-31,ערב ראשית השנה האזרחית
2018-01-01,ראש השנה האזרחית
2018-01-05,ערב חג ההתגלות
2018-01-06,חג ההתגלות
2018-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2018-01-25,נבי אלח'אדר (חג הנביא אליהו)
2018-01-31,טו בשבט
2018-02-28,תענית אסתר
2018-03-01,פורים
2018-03-02,שושן פורים
2018-03-25,יום הבשורה
2018-03-30,ערב פסח
2018-03-31,פסח
2018-04-01,חול המועד פסח
2018-04-02,חול המועד פסח
2018-04-03,חול המועד פסח
2018-04-04,חול המועד פסח
2018-04-05,חול המועד פסח
2018-04-06,חג שביעי של פסח
2018-04-07,איסרו חג פסח (מימונה)
2018-04-12,יום הזכרון לשואה ולגבורה
2018-04-13,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2018-04-18,יום הזכרון
2018-04-19,יום העצמאות
2018-04-24,ערב חג הנביא שועייב
2018-04-25,חג הנביא שועייב
2018-04-26,חג הנביא שועייב
2018-04-27,חג הנביא שועייב
2018-04-28,חג הנביא שועייב
2018-05-02,ערב לג בעומר
2018-05-03,לג בעומר
2018-05-09,ערב העלייה השמיימה
2018-05-10,העלייה השמיימה
2018-05-13,יום ירושלים
2018-05-16,רמדאן
2018-05-17,רמדאן
2018-05-18,רמדאן
2018-05-19,ערב שבועות
2018-05-20,שבועות
2018-05-21,איסרו חג שבועות
2018-05-22,רמדאן
2018-05-23,רמדאן
2018-05-24,רמדאן
2018-05-25,רמדאן
2018-05-26,רמדאן
2018-05-27,רמדאן
2018-05-28,רמדאן
2018-05-29,רמדאן
2018-05-30,רמדאן
2018-05-31,רמדאן
2018-06-01,רמדאן
2018-06-02,רמדאן
2018-06-03,רמדאן
2018-06-04,רמדאן
2018-06-05,רמדאן
2018-06-06,רמדאן
2018-06-07,רמדאן
2018-06-08,רמדאן
2018-06-09,רמדאן
2018-06-10,רמדאן
2018-06-11,רמדאן
2018-06-12,רמדאן
2018-06-13,רמדאן
2018-06-14,ערב איד אל פיטר
2018-06-15,עיד אל פיטר
2018-06-16,עיד אל פיטר
2018-06-17,עיד אל פיטר
2018-07-01,יז תמוז
2018-07-06,צעדת הנביא אבו אברהים
2018-07-21,ערב ט באב
2018-07-22,ט אב
2018-07-27,טו באב
2018-08-20,ערב עיד אלאדחא (חג הקורבן)
2018-08-21,עיד אלאדחא (חג הקורבן)
2018-08-22,עיד אלאדחא (חג הקורבן)
2018-08-23,עיד אלאדחא (חג הקורבן)
2018-08-24,עיד אלאדחא (חג הקורבן)
2018-08-25,חג הנביא אל יעפורי
2018-09-09,ערב ראש השנה
2018-09-10,ראש השנה
2018-09-11,ראש השנה
2018-09-12,צום גדליה
2018-09-18,ערב יום כיפור
2018-09-19,יום כיפור
2018-09-23,ערב סוכות
2018-09-24,סוכות
2018-09-25,חול המועד סוכות
2018-09-26,חול המועד סוכות
2018-09-27,חול המועד סוכות
2018-09-28,חול המועד סוכות
2018-09-29,חול המועד סוכות
2018-09-30,חול המועד סוכות
2018-10-01,שמיני עצרת (שמחת תורה)
2018-10-02,איסרו חג סוכות
2018-11-07,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2018-12-02,ערב חנוכה
2018-12-03,חנוכה
2018-12-04,חנוכה
2018-12-05,חנוכה
2018-12-06,חנוכה
2018-12-07,חנוכה
2018-12-08,חנוכה
2018-12-09,חנוכה
2018-12-10,חנוכה
2018-12-18,צום י בטבת
2018-12-24,ערב חג המולד
2018-12-25,חג המולד
2018-12-26,חג המולד
2018-12-31,ערב ראשית השנה האזרחית
2019-01-01,ראש השנה האזרחית
2019-01-05,ערב חג ההתגלות
2019-01-06,חג ההתגלות
2019-01-21,טו בשבט
2019-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2019-01-25,נבי אלח'אדר (חג הנביא אליהו)
2019-03-20,תענית אסתר
2019-03-21,פורים
2019-03-22,שושן פורים
2019-03-25,יום הבשורה
2019-04-03,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2019-04-19,ערב פסח
2019-04-20,פסח
2019-04-21,חול המועד פסח
2019-04-22,חול המועד פסח
2019-04-23,חול המועד פסח
2019-04-24,חול המועד פסח
2019-04-25,חול המועד פסח
2019-04-26,חג שביעי של פסח
2019-04-27,איסרו חג פסח (מימונה)
2019-04-28,חג הנביא שועייב
2019-05-02,יום הזכרון לשואה ולגבורה
2019-05-06,רמדאן
2019-05-07,רמדאן
2019-05-08,יום הזכרון
2019-05-09,יום העצמאות
2019-05-10,רמדאן
2019-05-11,רמדאן
2019-05-12,רמדאן
2019-05-13,רמדאן
2019-05-14,רמדאן
2019-05-15,רמדאן
2019-05-16,רמדאן
2019-05-17,רמדאן
2019-05-18,רמדאן
2019-05-19,רמדאן
2019-05-20,רמדאן
2019-05-21,רמדאן
2019-05-22,ערב לג בעומר
2019-05-23,לג בעומר
2019-05-24,רמדאן
2019-05-25,רמדאן
2019-05-26,רמדאן
2019-05-27,רמדאן
2019-05-28,רמדאן
2019-05-29,רמדאן
2019-05-30,רמדאן
2019-05-31,רמדאן
2019-06-01,רמדאן
2019-06-02,יום ירושלים
2019-06-03,רמדאן
2019-06-04,ערב איד אל פיטר
2019-06-05,עיד אל פיטר
2019-06-06,עיד אל פיטר
2019-06-07,עיד אל פיטר
2019-06-08,ערב שבועות
2019-06-09,שבועות
2019-06-10,איסרו חג שבועות
2019-07-06,צעדת הנביא אבו אברהים
2019-07-21,יז תמוז
2019-08-10,ערב ט באב
2019-08-11,ט אב
2019-08-12,עיד אלאדחא (חג הקורבן)
2019-08-13,עיד אלאדחא (חג הקורבן)
2019-08-14,עיד אלאדחא (חג הקורבן)
2019-08-16,טו באב
2019-08-25,חג הנביא אל יעפורי
2019-09-09,ערב חג נבי סבלאן
2019-09-10,חג נבי סבלאן
2019-09-29,ערב ראש השנה
2019-09-30,ראש השנה
2019-10-01,ראש השנה
2019-10-02,צום גדליה
2019-10-08,ערב יום כיפור
2019-10-09,יום כיפור
2019-10-13,ערב סוכות
2019-10-14,סוכות
2019-10-15,חול המועד סוכות
2019-10-16,חול המועד סוכות
2019-10-17,חול המועד סוכות
2019-10-18,חול המועד סוכות
2019-10-19,חול המועד סוכות
2019-10-20,חול המועד סוכות
2019-10-21,שמיני עצרת (שמחת תורה)
2019-10-22,איסרו חג סוכות
2019-11-09,הולדת הנביא מוחמד
2019-11-27,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2019-12-22,ערב חנוכה
2019-12-23,חנוכה
2019-12-24,חנוכה
2019-12-25,חנוכה
2019-12-26,חנוכה
2019-12-27,חנוכה
2019-12-28,חנוכה
2019-12-29,חנוכה
2019-12-30,חנוכה
2019-12-31,ערב ראשית השנה האזרחית
2020-01-01,ראש השנה האזרחית
2020-01-05,ערב חג ההתגלות
2020-01-06,חג ההתגלות
2020-01-07,צום י בטבת
2020-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2020-01-25,נבי אלח'אדר (חג הנביא אליהו)
2020-02-10,טו בשבט
2020-03-09,תענית אסתר
2020-03-10,פורים
2020-03-11,שושן פורים
2020-03-22,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2020-03-25,יום הבשורה
2020-04-08,ערב פסח
2020-04-09,פסח
